id_sus,uf,municipio,slug
350060,sp,aguas-de-sao-pedro,sp-aguas-de-sao-pedro
310090,mg,aguas-formosas,mg-aguas-formosas
420055,sc,aguas-frias,sc-aguas-frias
520025,go,aguas-lindas-de-goias,go-aguas-lindas-de-goias
420060,sc,aguas-mornas,sc-aguas-mornas
310100,mg,aguas-vermelhas,mg-aguas-vermelhas
430010,rs,agudo,rs-agudo
350070,sp,agudos,sp-agudos
410030,pr,agudos-do-sul,pr-agudos-do-sul
320013,es,aguia-branca,es-aguia-branca
250020,pb,aguiar,pb-aguiar
170030,to,aguiarnopolis,to-aguiarnopolis
310110,mg,aimores,mg-aimores
290060,ba,aiquara,ba-aiquara
230040,ce,aiuaba,ce-aiuaba
310120,mg,aiuruoca,mg-aiuruoca
430020,rs,ajuricaba,rs-ajuricaba
310130,mg,alagoa,mg-alagoa
250030,pb,alagoa-grande,pb-alagoa-grande
250040,pb,alagoa-nova,pb-alagoa-nova
260060,pe,alagoinha,pe-alagoinha
250050,pb,alagoinha,pb-alagoinha
220025,pi,alagoinha-do-piaui,pi-alagoinha-do-piaui
290070,ba,alagoinhas,ba-alagoinhas
350075,sp,alambari,sp-alambari
310140,mg,albertina,mg-albertina
210020,ma,alcantara,ma-alcantara
230050,ce,alcantaras,ce-alcantaras
250053,pb,alcantil,pb-alcantil
500025,ms,alcinopolis,ms-alcinopolis
290080,ba,alcobaca,ba-alcobaca
210030,ma,aldeias-altas,ma-aldeias-altas
430030,rs,alecrim,rs-alecrim
320020,es,alegre,es-alegre
430040,rs,alegrete,rs-alegrete
220027,pi,alegrete-do-piaui,pi-alegrete-do-piaui
430045,rs,alegria,rs-alegria
310150,mg,alem-paraiba,mg-alem-paraiba
150040,pa,alenquer,pa-alenquer
240050,rn,alexandria,rn-alexandria
520030,go,alexania,go-alexania
310160,mg,alfenas,mg-alfenas
320030,es,alfredo-chaves,es-alfredo-chaves
350080,sp,alfredo-marcondes,sp-alfredo-marcondes
310163,mg,alfredo-vasconcelos,mg-alfredo-vasconcelos
420070,sc,alfredo-wagner,sc-alfredo-wagner
250057,pb,algodao-de-jandaira,pb-algodao-de-jandaira
250060,pb,alhandra,pb-alhandra
260070,pe,alianca,pe-alianca
170035,to,alianca-do-tocantins,to-alianca-do-tocantins
290090,ba,almadina,ba-almadina
170040,to,almas,to-almas
150050,pa,almeirim,pa-almeirim
310170,mg,almenara,mg-almenara
240060,rn,almino-afonso,rn-almino-afonso
410040,pr,almirante-tamandare,pr-almirante-tamandare
430047,rs,almirante-tamandare-do-sul,rs-almirante-tamandare-do-sul
520050,go,aloandia,go-aloandia
310180,mg,alpercata,mg-alpercata
430050,rs,alpestre,rs-alpestre
310190,mg,alpinopolis,mg-alpinopolis
510025,mt,alta-floresta,mt-alta-floresta
110001,ro,alta-floresta-d'oeste,ro-alta-floresta-d'oeste
350090,sp,altair,sp-altair
150060,pa,altamira,pa-altamira
210040,ma,altamira-do-maranhao,ma-altamira-do-maranhao
410045,pr,altamira-do-parana,pr-altamira-do-parana
230060,ce,altaneira,ce-altaneira
310200,mg,alterosa,mg-alterosa
260080,pe,altinho,pe-altinho
350100,sp,altinopolis,sp-altinopolis
140005,rr,alto-alegre,rr-alto-alegre
430055,rs,alto-alegre,rs-alto-alegre
350110,sp,alto-alegre,sp-alto-alegre
210043,ma,alto-alegre-do-maranhao,ma-alto-alegre-do-maranhao
210047,ma,alto-alegre-do-pindare,ma-alto-alegre-do-pindare
110037,ro,alto-alegre-dos-parecis,ro-alto-alegre-dos-parecis
510030,mt,alto-araguaia,mt-alto-araguaia
420075,sc,alto-bela-vista,sc-alto-bela-vista
510035,mt,alto-boa-vista,mt-alto-boa-vista
310205,mg,alto-caparao,mg-alto-caparao
240070,rn,alto-do-rodrigues,rn-alto-do-rodrigues
430057,rs,alto-feliz,rs-alto-feliz
510040,mt,alto-garcas,mt-alto-garcas
520055,go,alto-horizonte,go-alto-horizonte
315350,mg,alto-jequitiba,mg-alto-jequitiba
220030,pi,alto-longa,pi-alto-longa
410050,pr,altonia,pr-altonia
510050,mt,alto-paraguai,mt-alto-paraguai
110040,ro,alto-paraiso,ro-alto-paraiso
412862,pr,alto-paraiso,pr-alto-paraiso
520060,go,alto-paraiso-de-goias,go-alto-paraiso-de-goias
410060,pr,alto-parana,pr-alto-parana
210050,ma,alto-parnaiba,ma-alto-parnaiba
410070,pr,alto-piquiri,pr-alto-piquiri
310210,mg,alto-rio-doce,mg-alto-rio-doce
320035,es,alto-rio-novo,es-alto-rio-novo
220040,pi,altos,pi-altos
230070,ce,alto-santo,ce-alto-santo
510060,mt,alto-taquari,mt-alto-taquari
350115,sp,aluminio,sp-aluminio
130002,am,alvaraes,am-alvaraes
310220,mg,alvarenga,mg-alvarenga
350120,sp,alvares-florence,sp-alvares-florence
350130,sp,alvares-machado,sp-alvares-machado
350140,sp,alvaro-de-carvalho,sp-alvaro-de-carvalho
350150,sp,alvinlandia,sp-alvinlandia
310230,mg,alvinopolis,mg-alvinopolis
170070,to,alvorada,to-alvorada
430060,rs,alvorada,rs-alvorada
310240,mg,alvorada-de-minas,mg-alvorada-de-minas
110034,ro,alvorada-d'oeste,ro-alvorada-d'oeste
220045,pi,alvorada-do-gurgueia,pi-alvorada-do-gurgueia
520080,go,alvorada-do-norte,go-alvorada-do-norte
410080,pr,alvorada-do-sul,pr-alvorada-do-sul
140002,rr,amajari,rr-amajari
500060,ms,amambai,ms-amambai
160010,ap,amapa,ap-amapa
210055,ma,amapa-do-maranhao,ma-amapa-do-maranhao
410090,pr,amapora,pr-amapora
260090,pe,amaraji,pe-amaraji
430063,rs,amaral-ferrador,rs-amaral-ferrador
520082,go,amaralina,go-amaralina
220050,pi,amarante,pi-amarante
210060,ma,amarante-do-maranhao,ma-amarante-do-maranhao
290100,ba,amargosa,ba-amargosa
130006,am,amatura,am-amatura
290110,ba,amelia-rodrigues,ba-amelia-rodrigues
290115,ba,america-dourada,ba-america-dourada
350160,sp,americana,sp-americana
520085,go,americano-do-brasil,go-americano-do-brasil
350170,sp,americo-brasiliense,sp-americo-brasiliense
350180,sp,americo-de-campos,sp-americo-de-campos
430064,rs,ametista-do-sul,rs-ametista-do-sul
230075,ce,amontada,ce-amontada
520090,go,amorinopolis,go-amorinopolis
350190,sp,amparo,sp-amparo
250073,pb,amparo,pb-amparo
280010,se,amparo-de-sao-francisco,se-amparo-de-sao-francisco
310250,mg,amparo-do-serra,mg-amparo-do-serra
410100,pr,ampere,pr-ampere
270020,al,anadia,al-anadia
290120,ba,anage,ba-anage
410105,pr,anahy,pr-anahy
150070,pa,anajas,pa-anajas
210070,ma,anajatuba,ma-anajatuba
350200,sp,analandia,sp-analandia
130008,am,anama,am-anama
170100,to,ananas,to-ananas
150080,pa,ananindeua,pa-ananindeua
520110,go,anapolis,go-anapolis
150085,pa,anapu,pa-anapu
210080,ma,anapurus,ma-anapurus
500070,ms,anastacio,ms-anastacio
500080,ms,anaurilandia,ms-anaurilandia
320040,es,anchieta,es-anchieta
420080,sc,anchieta,sc-anchieta
290130,ba,andarai,ba-andarai
410110,pr,andira,pr-andira
290135,ba,andorinha,ba-andorinha
310260,mg,andradas,mg-andradas
350210,sp,andradina,sp-andradina
430066,rs,andre-da-rocha,rs-andre-da-rocha
310280,mg,andrelandia,mg-andrelandia
350220,sp,angatuba,sp-angatuba
310285,mg,angelandia,mg-angelandia
500085,ms,angelica,ms-angelica
260100,pe,angelim,pe-angelim
420090,sc,angelina,sc-angelina
290140,ba,angical,ba-angical
220060,pi,angical-do-piaui,pi-angical-do-piaui
170105,to,angico,to-angico
240080,rn,angicos,rn-angicos
330010,rj,angra-dos-reis,rj-angra-dos-reis
290150,ba,anguera,ba-anguera
410115,pr,angulo,pr-angulo
520120,go,anhanguera,go-anhanguera
350230,sp,anhembi,sp-anhembi
350240,sp,anhumas,sp-anhumas
520130,go,anicuns,go-anicuns
220070,pi,anisio-de-abreu,pi-anisio-de-abreu
420100,sc,anita-garibaldi,sc-anita-garibaldi
420110,sc,anitapolis,sc-anitapolis
130010,am,anori,am-anori
430070,rs,anta-gorda,rs-anta-gorda
290160,ba,antas,ba-antas
410120,pr,antonina,pr-antonina
230080,ce,antonina-do-norte,ce-antonina-do-norte
220080,pi,antonio-almeida,pi-antonio-almeida
290170,ba,antonio-cardoso,ba-antonio-cardoso
420120,sc,antonio-carlos,sc-antonio-carlos
310290,mg,antonio-carlos,mg-antonio-carlos
310300,mg,antonio-dias,mg-antonio-dias
290180,ba,antonio-goncalves,ba-antonio-goncalves
500090,ms,antonio-joao,ms-antonio-joao
240090,rn,antonio-martins,rn-antonio-martins
410130,pr,antonio-olinto,pr-antonio-olinto
430080,rs,antonio-prado,rs-antonio-prado
310310,mg,antonio-prado-de-minas,mg-antonio-prado-de-minas
350250,sp,aparecida,sp-aparecida
250077,pb,aparecida,pb-aparecida
520140,go,aparecida-de-goiania,go-aparecida-de-goiania
350260,sp,aparecida-d'oeste,sp-aparecida-d'oeste
520145,go,aparecida-do-rio-doce,go-aparecida-do-rio-doce
170110,to,aparecida-do-rio-negro,to-aparecida-do-rio-negro
500100,ms,aparecida-do-taboado,ms-aparecida-do-taboado
330015,rj,aperibe,rj-aperibe
320050,es,apiaca,es-apiaca
510080,mt,apiacas,mt-apiacas
350270,sp,apiai,sp-apiai
210083,ma,apicum-acu,ma-apicum-acu
420125,sc,apiuna,sc-apiuna
240100,rn,apodi,rn-apodi
290190,ba,apora,ba-apora
520150,go,apore,go-apore
290195,ba,apuarema,ba-apuarema
410140,pr,apucarana,pr-apucarana
130014,am,apui,am-apui
230090,ce,apuiares,ce-apuiares
280020,se,aquidaba,se-aquidaba
500110,ms,aquidauana,ms-aquidauana
230100,ce,aquiraz,ce-aquiraz
420127,sc,arabuta,sc-arabuta
250080,pb,aracagi,pb-aracagi
310320,mg,aracai,mg-aracai
280030,se,aracaju,se-aracaju
350275,sp,aracariguama,sp-aracariguama
290205,ba,aracas,ba-aracas
230110,ce,aracati,ce-aracati
290200,ba,aracatu,ba-aracatu
350280,sp,aracatuba,sp-aracatuba
290210,ba,araci,ba-araci
310330,mg,aracitaba,mg-aracitaba
230120,ce,aracoiaba,ce-aracoiaba
260105,pe,aracoiaba,pe-aracoiaba
350290,sp,aracoiaba-da-serra,sp-aracoiaba-da-serra
320060,es,aracruz,es-aracruz
520160,go,aracu,go-aracu
310340,mg,aracuai,mg-aracuai
520170,go,aragarcas,go-aragarcas
520180,go,aragoiania,go-aragoiania
170130,to,aragominas,to-aragominas
170190,to,araguacema,to-araguacema
170200,to,araguacu,to-araguacu
510100,mt,araguaiana,mt-araguaiana
170210,to,araguaina,to-araguaina
510120,mt,araguainha,mt-araguainha
170215,to,araguana,to-araguana
210087,ma,araguana,ma-araguana
520215,go,araguapaz,go-araguapaz
310350,mg,araguari,mg-araguari
170220,to,araguatins,to-araguatins
210090,ma,araioses,ma-araioses
500124,ms,aral-moreira,ms-aral-moreira
290220,ba,aramari,ba-aramari
430085,rs,arambare,rs-arambare
210095,ma,arame,ma-arame
350300,sp,aramina,sp-aramina
350310,sp,arandu,sp-arandu
310360,mg,arantina,mg-arantina
350315,sp,arapei,sp-arapei
270030,al,arapiraca,al-arapiraca
170230,to,arapoema,to-arapoema
310370,mg,araponga,mg-araponga
410150,pr,arapongas,pr-arapongas
310375,mg,arapora,mg-arapora
410160,pr,arapoti,pr-arapoti
310380,mg,arapua,mg-arapua
410165,pr,arapua,pr-arapua
510125,mt,araputanga,mt-araputanga
420130,sc,araquari,sc-araquari
250090,pb,arara,pb-arara
420140,sc,ararangua,sc-ararangua
350320,sp,araraquara,sp-araraquara
350330,sp,araras,sp-araras
230125,ce,ararenda,ce-ararenda
210100,ma,arari,ma-arari
430087,rs,ararica,rs-ararica
230130,ce,araripe,ce-araripe
260110,pe,araripina,pe-araripina
330020,rj,araruama,rj-araruama
410170,pr,araruna,pr-araruna
250100,pb,araruna,pb-araruna
290225,ba,arataca,ba-arataca
430090,rs,aratiba,rs-aratiba
230140,ce,aratuba,ce-aratuba
290230,ba,aratuipe,ba-aratuipe
280040,se,araua,se-araua
410180,pr,araucaria,pr-araucaria
310390,mg,araujos,mg-araujos
310400,mg,araxa,mg-araxa
310410,mg,arceburgo,mg-arceburgo
350335,sp,arco-iris,sp-arco-iris
310420,mg,arcos,mg-arcos
260120,pe,arcoverde,pe-arcoverde
310430,mg,areado,mg-areado
330022,rj,areal,rj-areal
350340,sp,arealva,sp-arealva
250110,pb,areia,pb-areia
280050,se,areia-branca,se-areia-branca
240110,rn,areia-branca,rn-areia-branca
250115,pb,areia-de-baraunas,pb-areia-de-baraunas
250120,pb,areial,pb-areial
350350,sp,areias,sp-areias
350360,sp,areiopolis,sp-areiopolis
